8101030104,石狩川水系,漁川,左岸
0.800,86.000,南十二号漁川橋,10.310,20151116
2.600,52.000,下水放流渠樋門,5.610,20151119
2.800,133.000,漁川第一揚水機樋門,2.850,20151119
3.200,19.000,南十五号漁川橋,12.220,20151116
3.200,113.000,漁川南十五号樋門,5.820,20151119
4.200,0.000,第三号床止,7.410,20151110
4.800,160.000,南十八号漁川橋,14.560,20151116
6.000,66.000,恵庭ニュータウン二号樋門,10.690,20151119
6.200,110.000,第四号床止,12.040,20151112
6.800,54.000,南二十一号漁川橋,19.470,20151116
8.200,92.000,恵庭ニュータウン一号樋門,16.520,20151119
8.200,150.000,末岡排水樋管,17.350,20151119
8.800,20.000,恵庭大橋,23.520,20151117
9.000,180.000,黄金橋,23.700,20151117
9.600,0.000,第五号床止,21.170,20151124
9.600,153.000,中島橋,26.660,20151124
9.800,71.000,漁川橋梁下流,28.570,20151007
9.800,86.000,漁川橋梁上流,28.700,20151007
10.000,58.000,有福橋,28.580,20151201
10.400,190.000,漁川橋,31.960,20151130
10.600,134.000,恵庭橋,32.280,20151130
10.800,131.000,第十一号樋門,26.940,20151119
11.200,28.000,新栄橋,33.680,20151130
11.400,59.000,日の出橋,34.870,20151130
11.400,207.000,第八号樋門,999.999,20151119
12.000,26.000,あかね橋,36.990,20151130
13.200,132.000,漁川頭首工,43.030,20151127
13.600,80.000,漁川水管橋,51.620,20151127
13.600,95.000,道央自動車道橋,50.800,20151127
